photo_title,date_taken,country,latitude,longitude,url
Traditional dance（伝統的な踊り）,2018-04-01 12:56:23,Japan,34.939253,138.348083,https://www.flickr.com/photos/146134374@N05/39718048380/
Traditional dance（伝統的な踊り）,2018-04-01 12:57:56,Japan,34.939253,138.348083,https://www.flickr.com/photos/146134374@N05/39718047780/
"Spectateurs de la danse traditionnelle au couteau près de Lomé, Togo",2018-02-17 16:52:51,Togo,6.249628,1.171909,https://www.flickr.com/photos/sekitar/26087603967/
"Clémence, danse moderne #3",2018-03-10 16:45:10,France,43.445697,3.756369,https://www.flickr.com/photos/math41/27654107058/
Audrey,2018-04-17 09:31:18,France,48.833509,2.376008,https://www.flickr.com/photos/leblogdedenis/40631120165/
"Ramayana Ballet, Prambanan",2017-07-20 15:18:50,Indonesia,-7.752017,110.488632,https://www.flickr.com/photos/niallcorbet/41524405971/
"Ramayana Ballet, Prambanan",2017-07-20 15:17:52,Indonesia,-7.752017,110.488632,https://www.flickr.com/photos/niallcorbet/39715302030/
"Ramayana Ballet, Prambanan",2017-07-20 15:12:18,Indonesia,-7.752017,110.488632,https://www.flickr.com/photos/niallcorbet/39715297480/
Steve Aoki @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 18:41:29,United States,25.774663,-80.185995,https://www.flickr.com/photos/rud-gr/41524297061/
DJ Snake @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 22:01:18,United States,25.774613,-80.186098,https://www.flickr.com/photos/rud-gr/26654511537/
20th year anniversary edition of Ultra Music Festival,2018-03-23 15:59:56,United States,25.777869,-80.188067,https://www.flickr.com/photos/rud-gr/27653667488/
20th year anniversary edition of Ultra Music Festival,2018-03-23 16:08:28,United States,25.775444,-80.187412,https://www.flickr.com/photos/rud-gr/27653667428/
20th year anniversary edition of Ultra Music Festival,2018-03-23 16:11:58,United States,25.775525,-80.187253,https://www.flickr.com/photos/rud-gr/41482853252/
Raiden @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 16:19:42,United States,25.774541,-80.187695,https://www.flickr.com/photos/rud-gr/27653667298/
Raiden & Dubvision @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 16:26:54,United States,25.774711,-80.185870,https://www.flickr.com/photos/rud-gr/27653667168/
Raiden @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 16:24:40,United States,25.774636,-80.185892,https://www.flickr.com/photos/rud-gr/41482853052/
Raiden & Dubvision @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 16:27:30,United States,25.774613,-80.185826,https://www.flickr.com/photos/rud-gr/41482852682/
Raiden & Dubvision @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 16:27:33,United States,25.774613,-80.185826,https://www.flickr.com/photos/rud-gr/27653666988/
Raiden & Dubvision @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 16:27:39,United States,25.774613,-80.185826,https://www.flickr.com/photos/rud-gr/41482852482/
Kungs @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 16:40:46,United States,25.774772,-80.185673,https://www.flickr.com/photos/rud-gr/41482852132/
20th year anniversary edition of Ultra Music Festival,2018-03-23 16:42:16,United States,25.774700,-80.186051,https://www.flickr.com/photos/rud-gr/27653666588/
20th year anniversary edition of Ultra Music Festival,2018-03-23 16:43:01,United States,25.774611,-80.185695,https://www.flickr.com/photos/rud-gr/41482851932/
20th year anniversary edition of Ultra Music Festival,2018-03-23 16:43:04,United States,25.774611,-80.185695,https://www.flickr.com/photos/rud-gr/27653666438/
20th year anniversary edition of Ultra Music Festival,2018-03-23 16:43:19,United States,25.774552,-80.185628,https://www.flickr.com/photos/rud-gr/41482851552/
20th year anniversary edition of Ultra Music Festival,2018-03-23 16:43:53,United States,25.774672,-80.185859,https://www.flickr.com/photos/rud-gr/41482851192/
20th year anniversary edition of Ultra Music Festival,2018-03-23 16:43:55,United States,25.774672,-80.185859,https://www.flickr.com/photos/rud-gr/41482850902/
20th year anniversary edition of Ultra Music Festival,2018-03-23 16:44:02,United States,25.774672,-80.185859,https://www.flickr.com/photos/rud-gr/27653665958/
20th year anniversary edition of Ultra Music Festival,2018-03-23 16:56:50,United States,25.774700,-80.185942,https://www.flickr.com/photos/rud-gr/27653665768/
Kungs @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 16:45:38,United States,25.774763,-80.185989,https://www.flickr.com/photos/rud-gr/41482850622/
Kungs @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 16:48:52,United States,25.774830,-80.186012,https://www.flickr.com/photos/rud-gr/41482850522/
Kungs @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 16:58:15,United States,25.774380,-80.186075,https://www.flickr.com/photos/rud-gr/27653665598/
20th year anniversary edition of Ultra Music Festival,2018-03-23 16:57:09,United States,25.774747,-80.185987,https://www.flickr.com/photos/rud-gr/41482850272/
Kungs @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 16:58:11,United States,25.774405,-80.186031,https://www.flickr.com/photos/rud-gr/41482850162/
Kungs @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 16:59:29,United States,25.774436,-80.186098,https://www.flickr.com/photos/rud-gr/41482849832/
20th year anniversary edition of Ultra Music Festival,2018-03-23 17:08:24,United States,25.775191,-80.187562,https://www.flickr.com/photos/rud-gr/41482849382/
Kungs @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 17:00:46,United States,25.774533,-80.186089,https://www.flickr.com/photos/rud-gr/41482849622/
Oliver Heldens @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 18:10:05,United States,25.774716,-80.185764,https://www.flickr.com/photos/rud-gr/27653665258/
Oliver Heldens @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 18:21:09,United States,25.774872,-80.185734,https://www.flickr.com/photos/rud-gr/41482849122/
Oliver Heldens @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 18:21:10,United States,25.774872,-80.185734,https://www.flickr.com/photos/rud-gr/40630776575/
Oliver Heldens @ 20th year anniversary edition of Ultra Music Festival,2018-03-23 18:29:45,United States,25.774866,-80.185784,https://www.flickr.com/photos/rud-gr/40630776475/
