tweet_text,date_created,country,latitude,longitude,url
"@ChiChingChingJA Rock Di World 🌍 Remix Ft @fatmanscoop @stonebwoyb @patorankingfire 

E No Be Say By Force Wey We D… https://t.co/hgOS2nnoo0",Tue Apr 10 18:02:29 +0000 2018,Ghana,-0.3470252,5.51713,https://t.co/hgOS2nnoo0
@eddie_khae @kafuiii this the dance you were talking about?,Tue Apr 10 17:51:42 +0000 2018,Ghana,-0.3470252,5.51713,
@Joy997FM @lexisbill @Joselyn_Dumas Nice dance moves 😍😍,Tue Apr 10 14:43:00 +0000 2018,Ghana,-0.3470252,5.51713,
"#NowPlayingOnYfm @Y1079FM @Y979FM 

📻""Do The Dance"" ➡️ @eddie_khae 

#MMRS w/ @iambrownberry X @DJGANJ X @Ellakuns",Tue Apr 10 11:16:56 +0000 2018,Ghana,-3.2599659,4.677051,
She Dey dance roff https://t.co/bK2RnloOzm,Tue Apr 10 09:34:18 +0000 2018,Ghana,-0.3470252,5.51713,https://t.co/bK2RnloOzm
I have my ticket! Do you have yours? #Repost @JenniferCadiz ・・・ kuwait_school_of_dance will… https://t.co/kzcHdueep7,Wed Apr 11 11:47:30 +0000 2018,Kuwait,47.9425287,29.3450362,https://t.co/kzcHdueep7
Dance like no one is watching,Tue Apr 10 19:22:02 +0000 2018,Kuwait,48.0529411,29.3029491,
"Lee Know, what is your favorite kind of dance?

#AskStrayKids #StrayQuiz @Stray_Kids",Wed Apr 11 13:15:08 +0000 2018,Cambodia,102.3336805,9.9055303,
@FansTime_IFS Yugyeom (( Youngest &amp; King street dance)) 🐥💚🐥💚#PremiosMTVMiaw #MTVBRKPOPGOT7 @GOT7Official @GOT7_JYP https://t.co/RqYNqYW0sC,Wed Apr 11 13:14:22 +0000 2018,Thailand,100.4982188,14.8076582,
"My friend dance class 
Now started in Jammikunta https://t.co/2De4Rb9vMJ",Wed Apr 11 13:07:11 +0000 2018,India,67.997691,6.622513,
"@Actor_Akshat Hi Akshat, yes the show is called dance deewane on @ColorsTV",Wed Apr 11 13:04:12 +0000 2018,India,72.74484,18.845343,
Are you following me on Instagram yet? Then you are definitely missing out a lot of Dance updates. Do follow… https://t.co/vYy0WvpcKl,Wed Apr 11 12:46:10 +0000 2018,India,72.74484,18.845343,https://t.co/vYy0WvpcKl
"2018.4.20(金) 渋谷 🤗
POP UP
SOUND MUSEUM VISION
OPEN 22:00
💜ゲスト取れます❗️
GAIA
LIVE:BananaLemon

DJ:DAISHI DANCE / MITOMI… https://t.co/Hts4ZsAlNo",Fri Apr 13 03:26:16 +0000 2018,Japan,139.569658,35.462307,https://t.co/Hts4ZsAlNo
"沒有志龍的第46天 #好掛住你呀💖
171231 BIGBANG 2017 CONCERT LAST DANCE IN SEOUL🇰🇷 #Crooked #FightingKwonJiyong… https://t.co/NHNPvvbA8S",Fri Apr 13 02:54:39 +0000 2018,Republic of Korea,126.8369262,37.46487848,https://t.co/NHNPvvbA8S
"白玉ぜんざい
 
#松河屋老舗
#和菓子
#茶菓子
#名古屋
#和
#スイーツ
#お菓子
#おやつ
#白玉ぜんざい 
#ぜんざい… https://t.co/j4GFtJYK2E",Fri Apr 13 02:52:47 +0000 2018,Japan,136.899829,35.13941,https://t.co/j4GFtJYK2E
"4/13明日19:30頃〜ベリーダンスショー開催致します。
チャージフリーです。
ご予約お待ちしております。

#dance #ショー #show #福島駅近く #ベリーダンス #トルコレストラン #大阪 #大阪福島 #ハネダン… https://t.co/SVH7ojvtDF",Fri Apr 13 02:52:19 +0000 2018,Japan,135.49007,34.584841,https://t.co/SVH7ojvtDF
"スノーダンス♪
tonight～♪
Shazamを使ってNEWSのSnow Danceを発見しました。 https://t.co/EbBv4tnss1",Fri Apr 13 02:45:15 +0000 2018,Japan,139.749428,35.724769,https://t.co/EbBv4tnss1
"@ru_y_g 春財布って新しい財布買うにはいい時期
俺もポールスミスの新しい財布にした！",Fri Apr 13 02:28:04 +0000 2018,Japan,135.539156,34.675365,
@HARIBO_DANCE 되시는분을 찾아서 삼만리~ 가 됩니다...(땨흐흑),Fri Apr 13 02:25:00 +0000 2018,Republic of Korea,126.9545838,37.56086475,
"“You've gotta dance like there's nobody watching..   Love like you'll never be hurt,
Sing like there's nobody liste… https://t.co/EClf7AKwz5",Fri Apr 13 03:18:40 +0000 2018,Kenya,35.5650866,3.0947469,
": How To vote  DNADancers as the dance group of the year
step 1;
  Press on the  web site/link you have received
st… https://t.co/N6cEuYbCDB",Thu Apr 12 23:54:19 +0000 2018,Uganda,29.5735676,-1.4812885,
"I dance slow , but the devil tryin to rush me !",Thu Apr 12 22:52:41 +0000 2018,Kuwait,47.9568719,29.3435747,
@ZeeNews Bihu dance is part of culture of Assam😄,Fri Apr 13 03:50:23 +0000 2018,India,75.73808,17.558291,
"Park Jimin, your voice is so beautiful. Please, don’t change. We love you like you are now. Not only your voice or… https://t.co/cbNyQwyPYk",Wed Apr 11 21:09:55 +0000 2018,Azerbaijan,44.763113,38.3970566,https://t.co/cbNyQwyPYk
I never gonna dance again the way I’ve dance with you! #mood,Wed Apr 11 18:38:41 +0000 2018,Islamic Republic of Iran,44.0324781,25.0106719,
