title,date_created,place_name,latitude,longitude,url
Ranveer Singh Arjit Singh Nashe se chad gay video dance,2018-04-11T01:18:29.000Z,روضة البحتري,29.299424,47.809742,https://www.youtube.com/watch?v=1MKYCiGTgY0
"Hot recording dance jrpatel dance hot  Hindi open ,,,ho",2018-04-09T18:30:38.000Z,Pakistan International School - Jubail,26.9708284,49.6477975,https://www.youtube.com/watch?v=0cEiCWOscys
Ganesh Vandana~Choreography,2018-04-09T10:43:17.000Z,Bahrain,26.0667,50.5577,https://www.youtube.com/watch?v=OufCsyto5e8
Maga Maga Dance - menapar,2018-04-08T08:47:51.000Z,Armenian Second TV Channel,40.2082323,44.4562318,https://www.youtube.com/watch?v=AeoXuJY-a08
dance,2018-04-07T14:50:39.000Z,Ortachala Street #87,41.676404,44.815511,https://www.youtube.com/watch?v=T9yDWac0Nhs
Rabab dance,2018-04-07T10:17:58.000Z,Royal Palace Hotel,26.2671141,50.1883185,https://www.youtube.com/watch?v=1ts4Jd1bUX4
beautiful dance 2017 رقص زیبا Tanz,2018-04-07T01:04:08.000Z,Teheran,35.6891975,51.3889736,https://www.youtube.com/watch?v=td-hQLdgqqA
Türkmen Dance,2018-04-05T23:57:21.000Z,Türkmenistan,38.969719,59.556278,https://www.youtube.com/watch?v=qx9C3jLGDoQ
Turkmen Dance,2018-04-05T23:42:16.000Z,Türkmenistan,38.969719,59.556278,https://www.youtube.com/watch?v=bz07g3Aw5A8
My LEGO dance,2018-04-05T09:27:50.000Z,Cebarco tower,26.2042569,50.5797991,https://www.youtube.com/watch?v=mFtbIbbFuf0
Takan tukun tukka kids dance,2018-04-04T20:21:21.000Z,Palmetto Resturant,29.1710726,48.1142079,https://www.youtube.com/watch?v=WAOXqkMtyA4
BEST DANCE,2018-04-03T18:43:19.000Z,Tbilisi,41.7151377,44.827096,https://www.youtube.com/watch?v=jffE9o9tesM
Uppum mulakum mudiyan's    Best DJ music dance with water,2018-03-31T20:27:14.000Z,Middle East,29.2985278,42.5509603,https://www.youtube.com/watch?v=BuY4WQifW64
